Time,Value,Over Threshold
11:39:23.956667,0.002,False
11:39:24.056509,0.002,False
11:39:24.156625,0.002,False
11:39:24.256576,0.002,False
11:39:24.356739,0.002,False
11:39:24.456596,0.002,False
11:39:24.568261,0.002,False
11:39:24.656546,0.002,False
11:39:24.756567,0.002,False
11:39:24.856526,0.002,False
11:39:24.956546,0.002,False
11:39:25.056514,0.002,False
11:39:25.156687,0.002,False
11:39:25.256540,0.002,False
11:39:25.356572,0.002,False
11:39:25.456567,0.002,False
11:39:25.556745,0.002,False
11:39:25.656535,0.002,False
11:39:25.756554,0.002,False
11:39:25.856547,0.002,False
11:39:25.956536,0.002,False
11:39:26.056563,0.002,False
11:39:26.156538,0.002,False
11:39:26.256582,0.002,False
11:39:26.356719,0.002,False
11:39:26.456592,0.002,False
11:39:26.556550,0.002,False
11:39:26.656526,0.002,False
11:39:26.756675,0.002,False
11:39:26.856570,0.002,False
11:39:26.956573,0.002,False
11:39:27.056587,0.002,False
11:39:27.156585,0.002,False
11:39:27.256595,0.002,False
11:39:27.356599,0.002,False
11:39:27.456642,0.002,False
11:39:27.556643,0.002,False
11:39:27.656484,0.002,False
11:39:27.756468,0.002,False
11:39:27.856451,0.002,False
11:39:27.956649,0.002,False
11:39:28.056492,0.002,False
11:39:28.156465,0.002,False
11:39:28.256509,0.002,False
11:39:28.356548,0.002,False
11:39:28.456548,0.002,False
11:39:28.556531,0.002,False
11:39:28.656545,0.002,False
11:39:28.756862,0.002,False
11:39:28.868204,0.002,False
11:39:28.956536,0.002,False
11:39:29.056551,0.002,False
11:39:29.156942,0.002,False
11:39:29.256603,0.002,False
11:39:29.356556,0.002,False
11:39:29.456532,0.002,False
11:39:29.556634,0.002,False
11:39:29.656581,0.002,False
11:39:29.756556,0.002,False
11:39:29.856563,0.002,False
11:39:29.956981,0.002,False
11:40:15.368261,0.000,False
11:40:15.381613,0.001,False
11:40:15.398341,0.001,False
11:40:15.414977,0.001,False
11:40:15.431545,0.001,False
11:40:15.448291,0.002,False
11:40:15.464935,0.002,False
11:40:15.481532,0.002,False
11:40:15.498258,0.002,False
11:40:15.515003,0.002,False
11:40:15.531538,0.002,False
11:40:15.550450,0.002,False
11:40:15.564949,0.002,False
11:40:15.581542,0.002,False
11:40:15.598287,0.002,False
11:40:15.614954,0.002,False
11:40:15.631586,0.002,False
11:40:15.648613,0.002,False
11:40:15.664959,0.002,False
11:40:15.687637,0.002,False
11:40:15.704365,0.002,False
11:40:15.721076,0.002,False
11:40:15.737721,0.002,False
11:40:15.754347,0.002,False
11:40:15.771029,0.002,False
11:40:15.788081,0.002,False
11:40:15.804364,0.002,False
11:40:15.821082,0.002,False
11:40:15.837690,0.002,False
11:40:15.854368,0.002,False
11:40:15.871015,0.002,False
11:40:15.887690,0.002,False
11:40:15.904350,0.002,False
11:40:15.921067,0.002,False
11:40:15.937736,0.002,False
11:40:15.954346,0.002,False
11:40:15.971056,0.002,False
11:40:15.987736,0.002,False
11:40:16.004367,0.002,False
11:40:16.021057,0.002,False
11:40:16.037709,0.002,False
11:40:16.054914,0.002,False
11:40:16.071039,0.002,False
11:40:16.087691,0.002,False
11:40:16.104359,0.002,False
11:40:16.121092,0.002,False
11:40:16.147310,0.002,False
11:40:16.171134,0.002,False
11:40:16.187697,0.002,False
11:40:16.204353,0.002,False
11:40:16.221023,0.002,False
11:40:16.237720,0.002,False
11:40:16.254341,0.002,False
11:40:16.271028,0.002,False
11:40:16.287702,0.002,False
11:40:16.304369,0.002,False
11:40:16.321063,0.002,False
11:40:16.337721,0.002,False
11:40:16.354342,0.002,False
